country,year2010,year2011,year2012,year2013
Afghanistan,44,45,46,47
Albania,104,103,102,101
Algeria,16,16,16,16
American Samoa,278,276,276,276
Andorra,166,166,167,169
Angola,16,16,17,17
Antigua and Barbuda,198,200,202,205
Argentina,15,15,15,15
Armenia,104,104,104,105
Aruba,564,566,569,572
Australia,3,3,3,3
Austria,102,102,102,103
Azerbaijan,110,111,112,114
"Bahamas, The",36,37,37,38
Bahrain,"1,647","1,701","1,734","1,753"
Bangladesh,"1,161","1,174","1,188","1,203"
Barbados,652,655,659,662
Belarus,47,47,47,47
Belgium,361,365,368,370
Belize,14,14,14,15
Benin,84,87,89,92
Bermuda,"1,302","1,291","1,296","1,300"
Bhutan,19,19,19,20
Bolivia,9,10,10,10
Bosnia and Herzegovina,75,75,75,75
Botswana,3,4,4,4
Brazil,23,23,24,24
Brunei Darussalam,76,77,78,79
Bulgaria,68,68,67,67
Burkina Faso,57,58,60,62
Burundi,360,372,384,396
Cabo Verde,121,122,123,124
Cambodia,81,83,84,86
Cameroon,44,45,46,47
Canada,4,4,4,4
Cayman Islands,231,236,240,243
Central African Republic,7,7,7,7
Chad,9,10,10,10
Chile,23,23,23,24
China,143,144,144,145
Colombia,42,42,43,44
Comoros,367,376,386,395
"Congo, Dem. Rep.",27,28,29,30
"Congo, Rep.",12,12,13,13
Costa Rica,91,93,94,95
Cote d'Ivoire,60,61,62,64
Croatia,79,76,76,76
Cuba,106,106,106,106
Curacao,336,339,342,346
Cyprus,119,121,122,124
Czech Republic,136,136,136,136
Denmark,131,131,132,132
Djibouti,36,37,37,38
Dominica,95,95,96,96
Dominican Republic,207,210,213,215
Ecuador,60,61,62,63
"Egypt, Arab Rep.",78,80,81,82
El Salvador,300,302,304,306
Equatorial Guinea,25,26,26,27
Eritrea,57,59,61,63
Estonia,31,31,31,31
Ethiopia,87,89,92,94
Faeroe Islands,36,35,35,35
Fiji,47,48,48,48
Finland,18,18,18,18
France,119,119,120,121
French Polynesia,73,74,75,76
Gabon,6,6,6,6
"Gambia, The",166,171,177,183
Georgia,78,78,79,78
Germany,235,235,231,231
Ghana,107,109,111,114
Greece,87,86,86,86
Greenland,0,0,0,0
Grenada,308,309,310,311
Guam,295,298,302,306
Guatemala,134,137,141,144
Guinea,44,45,47,48
Guinea-Bissau,56,58,59,61
Guyana,4,4,4,4
Haiti,359,364,369,374
Honduras,68,70,71,72
"Hong Kong SAR, China","6,741","6,787","6,814","6,845"
Hungary,110,110,110,109
Iceland,3,3,3,3
India,405,411,416,421
Indonesia,133,135,136,138
"Iran, Islamic Rep.",46,46,47,48
Iraq,71,73,75,77
Ireland,66,66,67,67
Isle of Man,147,149,150,151
Israel,352,359,366,372
Italy,202,202,202,203
Jamaica,248,249,250,251
Japan,350,351,350,349
Jordan,68,70,71,73
Kazakhstan,6,6,6,6
Kenya,72,74,76,78
Kiribati,121,123,124,126
"Korea, Dem. Rep.",203,205,206,207
"Korea, Rep.",509,513,514,516
Kosovo,163,165,166,168
Kuwait,168,175,182,189
Kyrgyz Republic,28,29,29,30
Lao PDR,28,28,29,29
Latvia,34,33,33,32
Lebanon,424,428,433,437
